Job_Title,Experience_Level,avg_total_compensation
"Administrative assistant/ school facilities consultant ","1 year or less",43680.000000
"Administrative Assistant/HR","8 - 10 years",43000.000000
"Administrative Associate","2 - 4 years",47500.000000
"Administrative Associate","11 - 20 years",43500.000000
"Administrative associate","5-7 years",43250.000000
"Administrative Associate ","11 - 20 years",55000.000000
"Administrative Asst. ","11 - 20 years",55000.000000
"Administrative Clerk II","8 - 10 years",49377.000000
"Administrative Contracting Officer","11 - 20 years",96500.000000
"Administrative Coordinator","31 - 40 years",71700.000000
"Administrative Coordinator","21 - 30 years",56473.333333
"Administrative Coordinator","11 - 20 years",55798.500000
"Administrative Coordinator","8 - 10 years",51250.000000
"Administrative Coordinator","5-7 years",45173.333333
"Administrative Coordinator","2 - 4 years",44257.000000
"Administrative Coordinator","1 year or less",44000.000000
"Administrative coordinator ","21 - 30 years",56971.000000
"Administrative Coordinator ","11 - 20 years",47257.500000
"Administrative coordinator ","5-7 years",38000.000000
"Administrative Director","11 - 20 years",71000.000000
"Administrative Director","21 - 30 years",34320.000000
"Administrative information management specialist supervisor / ATIP coordinator","8 - 10 years",52000.000000
"Administrative Judge","31 - 40 years",190000.000000
"Administrative justice ","11 - 20 years",135000.000000
"Administrative Law Judge","21 - 30 years",109500.000000
"Administrative Law Specialist","11 - 20 years",125364.000000
"Administrative Law Specialist ","5-7 years",73000.000000
"Administrative Librarian","21 - 30 years",81100.666667
"Administrative Manager","21 - 30 years",117000.000000
"Administrative Manager","11 - 20 years",80081.666667
"Administrative Manager","5-7 years",60000.000000
"Administrative Manager","8 - 10 years",55000.000000
"Administrative Manager for Education","8 - 10 years",40798.000000
"Administrative Office Associate","31 - 40 years",62100.000000
"Administrative Officer","21 - 30 years",117000.000000
"Administrative Officer","8 - 10 years",38381.750000
"Administrative Officer ","11 - 20 years",55214.000000
"Administrative professional","5-7 years",48500.000000
"Administrative Program Specialist","11 - 20 years",61500.000000
"Administrative Secretary","11 - 20 years",52000.000000
"Administrative Services","21 - 30 years",63500.000000
"Administrative Services Coordinator","11 - 20 years",52000.000000
"Administrative Services Manager","31 - 40 years",87000.000000
"Administrative Services Manager","11 - 20 years",66300.000000
"Administrative Services Team Lead","21 - 30 years",63000.000000
"Administrative Social Work Supervisor ","21 - 30 years",70000.000000
"Administrative Specialist","21 - 30 years",125000.000000
"Administrative Specialist","5-7 years",54728.000000
"Administrative Specialist","2 - 4 years",50500.000000
"Administrative Specialist","8 - 10 years",47833.333333
"Administrative Specialist","11 - 20 years",45680.000000
"Administrative Specialist","31 - 40 years",32676.000000
"Administrative Staff Assistant","11 - 20 years",64447.500000
"Administrative Supervisor","21 - 30 years",84962.000000
"Administrative Support","11 - 20 years",51454.000000
"Administrative Support","8 - 10 years",45000.000000
"Administrative support","21 - 30 years",45000.000000
"Administrative Support ","11 - 20 years",58000.000000
"Administrative Support Assistant","21 - 30 years",55000.000000
"Administrative Support Assistant","2 - 4 years",39940.000000
"Administrative Support Assistant 4","21 - 30 years",47196.000000
"Administrative Support Associate","11 - 20 years",33000.000000
"Administrative Support Officer","31 - 40 years",69522.000000
"Administrative Support Specialist","11 - 20 years",48000.000000
"Administrative Support Specialist","21 - 30 years",46845.000000
"Administrative Support Specialist ","8 - 10 years",52000.000000
"Administrative Support Supervisor","21 - 30 years",30000.000000
"Administrative Systems Analyst","21 - 30 years",51500.000000
